disruption_exposure_rank,supplier_id,risk_category,supplier_priority_score,performance_risk_score,business_criticality_score,affected_parts,critical_parts_affected,total_order_quantity_exposed,critical_order_quantity_exposed,procurement_value_exposed,critical_procurement_value_exposed,total_consumption,average_daily_consumption,average_on_hand_inventory,total_backorder,total_blocked_quantity,single_source_parts,average_exposure_rank
1,SUP013,Critical,75.1125,72.1875,79.5,13,3,14293,606,15020893.01,4216513.82,23144,148.35897435897436,375.84294871794873,26,396,13,5.333333333333333
2,SUP036,High,50.45,23.75,90.5,8,4,15202,809,17481523.419999998,7051419.81,19053,122.13461538461539,237.83867521367523,23,237,8,5.833333333333333
3,SUP027,Critical,68.35,78.75,52.75,11,0,23791,0,33795816.58,0.0,29235,187.40384615384616,410.2564102564102,38,604,11,6.333333333333333
4,SUP040,High,65.6875,67.8125,62.5,11,1,16905,206,15768879.02,1662792.86,24427,156.58333333333334,368.14102564102564,20,390,11,7.166666666666667
4,SUP008,High,56.337500000000006,49.0625,67.25,6,2,9797,293,23216159.32,5084413.5,13048,83.64102564102564,123.62393162393163,216,112,6,7.166666666666667
6,SUP038,High,64.85,61.25,70.25,8,1,18714,103,31204412.22,559208.63,23489,150.57051282051282,415.36965811965814,0,274,8,8.833333333333334
7,SUP014,Critical,71.0125,72.1875,69.25,9,2,13834,251,13304583.360000001,1645127.16,19165,122.8525641025641,274.97008547008545,5,247,9,9.166666666666666
8,SUP006,High,64.3125,74.6875,48.75,10,0,16781,0,21451420.650000002,0.0,23245,149.00641025641025,453.08760683760687,0,611,10,9.333333333333334
9,SUP034,High,54.575,55.625,53.0,7,2,6349,413,11953921.120000001,4706223.5,11493,73.67307692307692,126.44551282051282,65,158,7,9.5
10,SUP033,Critical,77.625,96.875,48.75,7,1,8272,217,16590867.370000001,801287.6900000001,12836,82.28205128205128,494.267094017094,0,763,7,9.833333333333334
11,SUP005,High,51.55,46.25,59.5,6,3,4791,999,11224136.14,7873101.850000001,8949,57.36538461538461,173.54594017094018,5,188,6,10.0
12,SUP021,Critical,71.6625,75.9375,65.25,6,2,9353,521,14598403.059999999,3196500.0999999996,12679,81.27564102564102,268.88247863247864,2,260,6,10.166666666666666
13,SUP024,Critical,67.075,80.625,46.75,6,0,16150,0,22738570.290000003,0.0,18772,120.33333333333333,360.3600427350427,0,350,6,10.5
14,SUP039,Critical,73.075,85.625,54.25,4,2,2342,1185,9882546.94,7790855.390000001,5958,38.19230769230769,100.51068376068376,29,63,4,11.0
15,SUP002,Critical,69.675,85.625,45.75,6,0,15601,0,12592684.41,0.0,18374,117.78205128205128,385.53846153846155,1,313,6,12.166666666666666
16,SUP015,Critical,67.2,70.0,63.0,7,4,3536,579,5485655.31,3977652.1999999997,7929,50.82692307692308,117.08440170940172,7,112,7,12.333333333333334
17,SUP026,High,64.175,83.125,35.75,7,0,10582,0,10712043.84,0.0,14494,92.91025641025641,319.19017094017096,0,320,7,12.833333333333334
18,SUP018,High,62.6625,68.4375,54.0,6,1,8804,294,6740532.529999999,438062.94,12548,80.43589743589743,187.6688034188034,19,214,6,13.166666666666666
19,SUP009,High,66.875,85.625,38.75,5,0,11741,0,8884349.399999999,0.0,14453,92.6474358974359,242.125,8,165,5,13.666666666666666
20,SUP023,Critical,80.225,96.875,55.25,4,2,2607,750,4640540.32,4048573.44,5475,35.09615384615385,116.27029914529915,0,113,4,14.0
