po_id,supplier_id,site_id,part_id,order_date,promised_date,receipt_date,ordered_qty,received_qty,delivery_delay_days,late_delivery,actual_lead_time_days,lead_time_days_x,lead_time_days_y,lead_time_days,lead_time_variance_days,otif
PO000001,SUP004,SITE01,P00001,2022-05-02,2022-05-28,2022-05-29,16,16,1,1,27,27,27,27,0,0
PO000002,SUP004,SITE01,P00001,2022-07-04,2022-07-31,2022-08-02,5,5,2,1,29,27,27,27,2,0
PO000003,SUP004,SITE01,P00001,2022-10-17,2022-11-12,2022-11-16,5,5,4,1,30,27,27,27,3,0
PO000004,SUP004,SITE01,P00001,2023-02-06,2023-03-07,2023-03-09,3,3,2,1,31,27,27,27,4,0
PO000005,SUP004,SITE01,P00001,2023-04-03,2023-04-28,2023-04-29,5,5,1,1,26,27,27,27,-1,0
PO000006,SUP004,SITE01,P00001,2023-11-20,2023-12-17,2023-12-17,5,5,0,0,27,27,27,27,0,1
PO000007,SUP004,SITE01,P00001,2023-12-04,2023-12-31,2024-01-01,4,4,1,1,28,27,27,27,1,0
PO000008,SUP004,SITE01,P00001,2024-04-29,2024-05-26,2024-05-30,13,13,4,1,31,27,27,27,4,0
PO000009,SUP004,SITE01,P00001,2024-05-27,2024-06-22,2024-06-21,4,4,-1,0,25,27,27,27,-2,1
PO000010,SUP004,SITE01,P00001,2024-07-22,2024-08-21,2024-08-21,8,8,0,0,30,27,27,27,3,1
PO000011,SUP004,SITE01,P00001,2024-09-09,2024-10-07,2024-10-06,7,7,-1,0,27,27,27,27,0,1
PO000012,SUP004,SITE02,P00001,2022-04-11,2022-05-09,2022-05-10,12,12,1,1,29,27,27,27,2,0
PO000013,SUP004,SITE02,P00001,2022-05-16,2022-06-11,2022-06-11,11,11,0,0,26,27,27,27,-1,1
PO000014,SUP004,SITE02,P00001,2022-06-20,2022-07-17,2022-07-20,4,4,3,1,30,27,27,27,3,0
PO000015,SUP004,SITE02,P00001,2022-08-08,2022-09-05,2022-09-06,5,5,1,1,29,27,27,27,2,0
PO000016,SUP004,SITE02,P00001,2022-08-22,2022-09-18,2022-09-19,21,21,1,1,28,27,27,27,1,0
PO000017,SUP004,SITE02,P00001,2023-03-06,2023-03-29,2023-04-05,6,6,7,1,30,27,27,27,3,0
PO000018,SUP004,SITE02,P00001,2023-04-24,2023-05-20,2023-05-19,9,9,-1,0,25,27,27,27,-2,1
PO000019,SUP004,SITE02,P00001,2023-05-01,2023-05-29,2023-05-31,6,6,2,1,30,27,27,27,3,0
PO000020,SUP004,SITE02,P00001,2023-08-28,2023-09-26,2023-09-29,4,3,3,1,32,27,27,27,5,0
PO000021,SUP004,SITE02,P00001,2023-10-23,2023-11-18,2023-11-21,14,14,3,1,29,27,27,27,2,0
PO000022,SUP004,SITE02,P00001,2024-04-08,2024-05-06,2024-05-06,4,4,0,0,28,27,27,27,1,1
PO000023,SUP004,SITE02,P00001,2024-08-12,2024-09-06,2024-09-05,5,5,-1,0,24,27,27,27,-3,1
PO000024,SUP004,SITE02,P00001,2024-08-26,2024-09-22,2024-09-19,8,7,-3,0,24,27,27,27,-3,0
PO000025,SUP004,SITE03,P00001,2022-02-14,2022-03-16,2022-03-13,4,4,-3,0,27,27,27,27,0,1
PO000026,SUP004,SITE03,P00001,2022-04-04,2022-04-29,2022-04-29,3,3,0,0,25,27,27,27,-2,1
PO000027,SUP004,SITE03,P00001,2022-04-18,2022-05-17,2022-05-18,2,2,1,1,30,27,27,27,3,0
PO000028,SUP004,SITE03,P00001,2022-05-23,2022-06-20,2022-06-18,3,3,-2,0,26,27,27,27,-1,1
PO000029,SUP004,SITE03,P00001,2023-02-13,2023-03-12,2023-03-13,6,5,1,1,28,27,27,27,1,0
PO000030,SUP004,SITE03,P00001,2023-04-03,2023-04-28,2023-04-27,8,8,-1,0,24,27,27,27,-3,1
PO000031,SUP004,SITE03,P00001,2024-04-29,2024-05-23,2024-05-26,8,8,3,1,27,27,27,27,0,0
PO000032,SUP004,SITE03,P00001,2024-08-12,2024-09-05,2024-09-08,3,3,3,1,27,27,27,27,0,0
PO000033,SUP004,SITE04,P00001,2022-01-03,2022-01-29,2022-02-04,26,17,6,1,32,27,27,27,5,0
PO000034,SUP004,SITE04,P00001,2022-03-14,2022-04-09,2022-04-06,5,5,-3,0,23,27,27,27,-4,1
PO000035,SUP004,SITE04,P00001,2022-03-28,2022-04-22,2022-04-22,11,8,0,0,25,27,27,27,-2,0
PO000036,SUP004,SITE04,P00001,2022-06-06,2022-07-02,2022-07-04,27,27,2,1,28,27,27,27,1,0
PO000037,SUP004,SITE04,P00001,2022-07-18,2022-08-14,2022-08-17,7,7,3,1,30,27,27,27,3,0
PO000038,SUP004,SITE04,P00001,2022-08-08,2022-09-04,2022-09-04,16,16,0,0,27,27,27,27,0,1
PO000039,SUP004,SITE04,P00001,2022-09-26,2022-10-21,2022-10-18,18,18,-3,0,22,27,27,27,-5,1
PO000040,SUP004,SITE04,P00001,2022-11-07,2022-12-06,2022-12-08,17,17,2,1,31,27,27,27,4,0
PO000041,SUP004,SITE04,P00001,2023-01-16,2023-02-10,2023-02-13,10,10,3,1,28,27,27,27,1,0
PO000042,SUP004,SITE04,P00001,2023-01-30,2023-03-01,2023-02-28,13,13,-1,0,29,27,27,27,2,1
PO000043,SUP004,SITE04,P00001,2023-03-27,2023-04-25,2023-04-25,11,11,0,0,29,27,27,27,2,1
PO000044,SUP004,SITE04,P00001,2023-05-15,2023-06-10,2023-06-11,14,14,1,1,27,27,27,27,0,0
PO000045,SUP004,SITE04,P00001,2023-06-26,2023-07-26,2023-07-28,14,14,2,1,32,27,27,27,5,0
PO000046,SUP004,SITE04,P00001,2023-09-11,2023-10-09,2023-10-13,12,12,4,1,32,27,27,27,5,0
PO000047,SUP004,SITE04,P00001,2023-10-02,2023-10-29,2023-10-30,16,16,1,1,28,27,27,27,1,0
PO000048,SUP004,SITE04,P00001,2023-11-13,2023-12-10,2023-12-07,4,4,-3,0,24,27,27,27,-3,1
PO000049,SUP004,SITE04,P00001,2023-11-20,2023-12-19,2023-12-19,13,13,0,0,29,27,27,27,2,1
PO000050,SUP004,SITE04,P00001,2024-01-08,2024-02-02,2024-02-05,5,5,3,1,28,27,27,27,1,0
PO000051,SUP004,SITE04,P00001,2024-01-22,2024-02-18,2024-02-15,5,5,-3,0,24,27,27,27,-3,1
PO000052,SUP004,SITE04,P00001,2024-01-29,2024-02-25,2024-02-24,6,6,-1,0,26,27,27,27,-1,1
PO000053,SUP004,SITE04,P00001,2024-04-08,2024-05-05,2024-05-07,14,14,2,1,29,27,27,27,2,0
PO000054,SUP004,SITE04,P00001,2024-04-15,2024-05-12,2024-05-11,13,13,-1,0,26,27,27,27,-1,1
PO000055,SUP004,SITE04,P00001,2024-11-25,2024-12-22,2024-12-19,16,16,-3,0,24,27,27,27,-3,1
PO000056,SUP004,SITE04,P00001,2024-12-09,2025-01-03,2025-01-02,11,11,-1,0,24,27,27,27,-3,1
PO000057,SUP004,SITE05,P00001,2022-05-02,2022-05-24,2022-05-27,7,7,3,1,25,27,27,27,-2,0
PO000058,SUP004,SITE05,P00001,2022-09-19,2022-10-18,2022-10-19,5,5,1,1,30,27,27,27,3,0
PO000059,SUP004,SITE05,P00001,2022-12-05,2022-12-31,2023-01-01,8,6,1,1,27,27,27,27,0,0
PO000060,SUP004,SITE05,P00001,2023-01-02,2023-01-29,2023-01-30,6,6,1,1,28,27,27,27,1,0
PO000061,SUP004,SITE05,P00001,2023-02-27,2023-03-28,2023-04-01,28,28,4,1,33,27,27,27,6,0
PO000062,SUP004,SITE05,P00001,2023-07-17,2023-08-16,2023-08-19,3,3,3,1,33,27,27,27,6,0
PO000063,SUP004,SITE05,P00001,2023-09-25,2023-10-21,2023-10-19,8,8,-2,0,24,27,27,27,-3,1
