supplier_id,total_orders,late_orders,late_delivery_rate,avg_delivery_delay,max_delivery_delay,avg_actual_lead_time,avg_expected_lead_time,avg_lead_time_variance,lead_time_std,quality_incidents,total_scrap_qty,quality_incident_rate,quality_incident_rate_pct,otif_orders,otif_rate,total_order_quantity,distinct_parts_supplied,critical_parts_supplied
SUP001,659,278,42.19,0.27,10,40.7,40.53,0.17,7.4,3,3,0.004552352048558422,0.46,343,52.05,7839,7,0
SUP002,763,548,71.82,2.25,12,64.9,62.56,2.34,10.91,10,14,0.01310615989515072,1.31,196,25.69,15601,6,0
SUP003,633,424,66.98,1.91,12,44.16,42.38,1.78,9.23,6,11,0.009478672985781991,0.95,178,28.12,9558,6,0
SUP004,662,288,43.5,0.26,8,35.48,35.16,0.32,6.82,6,6,0.00906344410876133,0.91,348,52.57,8703,6,0
SUP005,436,289,66.28,1.93,11,53.51,51.41,2.1,7.43,1,1,0.0022935779816513763,0.23,123,28.21,4791,6,3
SUP006,1096,752,68.61,2.11,11,60.85,58.71,2.15,7.2,18,19,0.016423357664233577,1.64,289,26.37,16781,10,0
SUP007,831,389,46.81,0.39,11,34.8,34.48,0.32,4.98,2,2,0.0024067388688327317,0.24,407,48.98,10503,9,2
SUP008,587,258,43.95,0.18,9,33.21,32.9,0.31,8.87,9,10,0.015332197614991482,1.53,302,51.45,9797,6,2
SUP009,649,453,69.8,1.93,12,52.03,49.92,2.11,10.17,11,16,0.01694915254237288,1.69,164,25.27,11741,5,0
SUP010,930,402,43.23,0.35,8,27.07,26.84,0.22,5.03,8,8,0.008602150537634409,0.86,483,51.94,13221,9,1
SUP011,565,238,42.12,0.28,10,41.31,40.99,0.32,7.77,7,7,0.012389380530973451,1.24,299,52.92,8563,5,0
SUP012,1163,486,41.79,0.09,11,26.77,26.56,0.21,7.73,8,8,0.006878761822871883,0.69,636,54.69,14886,14,5
SUP013,1156,793,68.6,2.03,12,49.81,47.77,2.04,7.17,19,19,0.01643598615916955,1.64,323,27.94,14293,13,3
SUP014,843,583,69.16,2.08,13,45.94,43.91,2.03,8.37,11,11,0.013048635824436536,1.3,228,27.05,13834,9,2
SUP015,413,290,70.22,2.21,11,43.88,41.98,1.89,6.0,6,6,0.014527845036319613,1.45,108,26.15,3536,7,4
SUP016,385,256,66.49,1.99,12,44.76,42.85,1.91,7.23,6,12,0.015584415584415584,1.56,111,28.83,5420,4,0
SUP017,1306,539,41.27,0.13,10,29.0,28.88,0.12,7.2,11,14,0.008422664624808576,0.84,698,53.45,21270,12,0
SUP018,607,411,67.71,1.88,12,47.89,46.07,1.82,6.89,11,11,0.018121911037891267,1.81,174,28.67,8804,6,1
SUP019,691,302,43.7,0.22,10,28.16,27.8,0.36,5.74,9,10,0.013024602026049204,1.3,361,52.24,7604,8,2
SUP020,433,172,39.72,0.05,7,21.71,21.7,0.01,7.49,5,5,0.011547344110854504,1.15,242,55.89,5495,4,0
SUP021,523,367,70.17,2.08,10,61.91,59.63,2.28,6.95,8,10,0.015296367112810707,1.53,136,26.0,9353,6,2
SUP022,730,328,44.93,0.25,8,25.93,25.7,0.22,7.75,6,7,0.00821917808219178,0.82,366,50.14,10481,7,0
SUP023,280,206,73.57,2.37,11,57.77,55.51,2.26,9.47,7,7,0.025,2.5,67,23.93,2607,4,2
SUP024,821,557,67.84,2.04,10,58.53,56.27,2.26,9.39,16,16,0.0194884287454324,1.95,226,27.53,16150,6,0
SUP025,543,375,69.06,2.07,11,46.58,44.47,2.11,6.82,7,11,0.01289134438305709,1.29,141,25.97,7031,5,0
SUP026,680,480,70.59,2.16,14,66.5,64.51,1.99,9.25,10,10,0.014705882352941176,1.47,173,25.44,10582,7,0
SUP027,1311,897,68.42,2.02,13,42.71,40.75,1.96,8.63,24,29,0.018306636155606407,1.83,348,26.54,23791,11,0
SUP028,793,326,41.11,0.11,8,26.55,26.42,0.13,5.69,9,10,0.011349306431273645,1.13,432,54.48,13934,8,1
SUP029,684,292,42.69,0.22,11,41.8,41.44,0.36,7.24,7,7,0.01023391812865497,1.02,362,52.92,8889,8,1
SUP030,1171,493,42.1,0.2,9,36.62,36.43,0.19,6.06,13,14,0.011101622544833475,1.11,622,53.12,16462,12,3
SUP031,803,356,44.33,0.31,9,37.78,37.37,0.41,8.76,4,4,0.0049813200498132005,0.5,411,51.18,8848,9,1
SUP032,441,171,38.78,-0.08,8,29.57,29.68,-0.11,6.35,5,8,0.011337868480725623,1.13,254,57.6,5007,5,0
SUP033,631,608,96.35,6.09,17,97.37,90.9,6.47,10.09,11,15,0.017432646592709985,1.74,19,3.01,8272,7,1
SUP034,578,257,44.46,0.36,11,39.08,38.68,0.4,7.91,10,13,0.01730103806228374,1.73,295,51.04,6349,7,2
SUP035,699,306,43.78,0.26,8,33.27,33.06,0.21,6.32,3,15,0.004291845493562232,0.43,362,51.79,10611,7,1
SUP036,840,354,42.14,0.3,9,43.38,42.99,0.39,7.29,7,18,0.008333333333333333,0.83,450,53.57,15202,8,4
SUP037,842,372,44.18,0.29,10,30.84,30.49,0.36,5.04,12,12,0.014251781472684086,1.43,419,49.76,10929,8,1
SUP038,967,652,67.43,1.94,12,51.65,49.79,1.86,6.47,15,26,0.015511892450879007,1.55,267,27.61,18714,8,1
SUP039,306,215,70.26,2.18,12,44.05,41.7,2.35,8.89,5,5,0.016339869281045753,1.63,77,25.16,2342,4,2
SUP040,1215,805,66.26,1.87,11,46.61,44.62,1.99,7.57,22,26,0.01810699588477366,1.81,349,28.72,16905,11,1
