supplier_id,late_delivery_rate,delivery_reliability,avg_lead_time_variance,lead_time_std,lead_time_instability,quality_incident_rate_pct,critical_parts_supplied,critical_part_share,critical_exposure_index,total_order_quantity,order_quantity_share,delivery_risk_score,lead_time_risk_score,quality_risk_score,performance_risk_score,critical_exposure_score,order_volume_exposure_score,business_criticality_score,supplier_priority_score,risk_category
SUP001,42.19,57.81,0.17,7.4,-0.4863462650485542,0.46,0,0.0,-0.9035644546239148,7839,1.803316777816374,22.5,30.0,10.0,21.25,21.25,27.500000000000004,23.75,22.25,Low
SUP002,71.82,28.180000000000007,2.34,10.91,1.5938216792427644,1.31,0,0.0,-0.9035644546239148,15601,3.5889201493447187,95.0,97.5,55.00000000000001,85.625,21.25,82.5,45.75,69.675,Critical
SUP003,66.98,33.02,1.78,9.23,0.7896656152455795,0.95,0,0.0,-0.9035644546239148,9558,2.1987628220906883,60.0,82.5,30.0,58.125,21.25,47.5,31.75,47.575,Medium
SUP004,43.5,56.5,0.32,6.82,-0.626618955271258,0.91,0,0.0,-0.9035644546239148,8703,2.002074999022312,30.0,22.5,27.500000000000004,27.5,21.25,35.0,26.75,27.200000000000003,Low
SUP005,66.28,33.72,2.1,7.43,0.2961215066991625,0.23,3,0.5,1.6543542139989174,4791,1.1021419418954266,55.00000000000001,72.5,2.5,46.25,92.5,10.0,59.5,51.55,High
SUP006,68.61,31.39,2.15,7.2,0.2367024934686219,1.64,0,0.0,-0.9035644546239148,16781,3.860372349602829,75.0,70.0,78.75,74.6875,21.25,90.0,48.75,64.3125,High
SUP007,46.81,53.19,0.32,4.98,-1.2619935282058918,0.24,2,0.2222222222222222,0.4849881608652661,10503,2.4161546265346825,50.0,5.0,5.0,27.5,68.75,55.00000000000001,63.25,41.8,Medium
SUP008,43.95,56.05,0.31,8.87,0.0772706322449621,1.53,2,0.3333333333333333,0.8017146577913067,9797,2.2537433948548307,37.5,55.00000000000001,66.25,49.0625,78.75,50.0,67.25,56.337500000000006,High
SUP009,69.8,30.200000000000003,2.11,10.17,1.246277682420386,1.69,0,0.0,-0.9035644546239148,11741,2.700949392568191,82.5,95.0,82.5,85.625,21.25,65.0,38.75,66.875,High
SUP010,43.23,56.77,0.22,5.03,-1.2847335315835062,0.86,1,0.1111111111111111,-0.2092881468793242,13221,3.0414148640783623,27.500000000000004,2.5,25.0,20.625,46.25,67.5,54.75,34.275000000000006,Low
SUP011,42.12,57.88,0.32,7.77,-0.2985723007669634,1.24,0,0.0,-0.9035644546239148,8563,1.96986880577135,17.5,42.5,45.0,30.625,21.25,32.5,25.75,28.675,Low
SUP012,41.79,58.21,0.21,7.73,-0.3563909699327683,0.69,5,0.3571428571428571,2.002234053873965,14886,3.424438519527305,12.5,37.5,15.0,19.375,95.0,77.5,88.0,46.825,Medium
SUP013,68.6,31.40000000000001,2.04,7.17,0.1823369469818093,1.64,3,0.2307692307692307,0.8869015483704346,14293,3.2880222866857296,72.5,65.0,78.75,72.1875,82.5,75.0,79.5,75.1125,Critical
SUP014,69.16,30.840000000000003,2.03,8.37,0.5927111067836603,1.3,2,0.2222222222222222,0.4849881608652661,13834,3.1824319816700752,80.0,77.5,51.24999999999999,72.1875,68.75,70.0,69.25,71.0125,Critical
SUP015,70.22,29.78,1.89,6.0,-0.2816868316191879,1.45,4,0.5714285714285714,2.235513915698493,3536,0.8134364238243014,87.5,45.0,60.0,70.0,100.0,7.5,63.0,67.2,Critical
SUP016,66.49,33.510000000000005,1.91,7.23,0.1510483812514145,1.56,0,0.0,-0.9035644546239148,5420,1.246839767287249,57.49999999999999,62.5,72.5,62.5,21.25,15.0,18.75,45.0,Medium
SUP017,41.27,58.73,0.12,7.2,-0.5754115270146943,0.84,0,0.0,-0.9035644546239148,21270,4.893040931771179,10.0,25.0,22.5,16.875,21.25,97.5,51.75,30.825000000000003,Low
SUP018,67.71,32.290000000000006,1.82,6.89,-0.0023628449296526,1.81,1,0.1666666666666666,-0.0509248984163039,8804,2.0253094670105063,65.0,52.5,91.25,68.4375,65.0,37.5,54.0,62.6625,High
SUP019,43.7,56.3,0.36,5.74,-0.9835539578934254,1.3,2,0.25,0.5641697850967763,7604,1.749256382002259,32.5,12.5,51.24999999999999,32.1875,72.5,25.0,53.5,40.712500000000006,Medium
SUP020,39.72,60.28,0.01,7.49,-0.5192771477737446,1.15,0,0.0,-0.9035644546239148,5495,1.2640930851002647,5.0,27.500000000000004,42.5,20.0,21.25,17.5,19.75,19.9,Low
SUP021,70.17,29.83,2.28,6.95,0.2023817282981578,1.53,2,0.3333333333333333,0.8017146577913067,9353,2.151603753401779,85.0,67.5,66.25,75.9375,78.75,45.0,65.25,71.6625,Critical
SUP022,44.93,55.07,0.22,7.75,-0.3454841628975256,0.82,0,0.0,-0.9035644546239148,10481,2.4110936533095315,47.5,40.0,17.5,38.125,21.25,52.5,33.75,36.375,Low
SUP023,73.57,26.430000000000007,2.26,9.47,1.0645675200497715,2.5,2,0.5,1.2768044031803676,2607,0.5997253271804168,97.5,92.5,100.0,96.875,88.75,5.0,55.25,80.225,Critical
SUP024,67.84,32.16,2.26,9.39,1.036942538617831,1.95,0,0.0,-0.9035644546239148,16150,3.715214435735992,67.5,90.0,97.5,80.625,21.25,85.0,46.75,67.075,Critical
SUP025,69.06,30.94,2.11,6.82,0.0894815849578732,1.29,0,0.0,-0.9035644546239148,7031,1.617441033910821,77.5,60.0,47.5,65.625,21.25,22.5,21.75,48.075,Medium
SUP026,70.59,29.41,1.99,9.25,0.8805836558259765,1.47,0,0.0,-0.9035644546239148,10582,2.434328121297725,92.5,85.0,62.5,83.125,21.25,57.49999999999999,35.75,64.175,High
SUP027,68.42,31.58,1.96,8.63,0.6544883646966639,1.83,0,0.0,-0.9035644546239148,23791,5.472982454526005,70.0,80.0,95.0,78.75,21.25,100.0,52.75,68.35,Critical
SUP028,41.11,58.89,0.13,5.69,-1.092832489865316,1.13,1,0.125,-0.1696973347635691,13934,3.2054364054207625,7.5,10.0,38.75,15.9375,53.75,72.5,61.25,34.0625,Low
