disruption_exposure_rank,supplier_id,risk_category,supplier_priority_score,affected_parts,critical_parts_affected,procurement_value_exposed,critical_procurement_value_exposed,average_daily_consumption,total_backorder,total_blocked_quantity
1,SUP013,Critical,75.1125,13,3,15020893.01,4216513.82,148.35897435897436,26,396
2,SUP036,High,50.45,8,4,17481523.419999998,7051419.81,122.1346153846154,23,237
3,SUP027,Critical,68.35,11,0,33795816.58,0.0,187.40384615384616,38,604
4,SUP040,High,65.6875,11,1,15768879.02,1662792.86,156.58333333333334,20,390
4,SUP008,High,56.337500000000006,6,2,23216159.32,5084413.5,83.64102564102564,216,112
6,SUP038,High,64.85,8,1,31204412.22,559208.63,150.57051282051282,0,274
7,SUP014,Critical,71.0125,9,2,13304583.36,1645127.16,122.8525641025641,5,247
8,SUP006,High,64.3125,10,0,21451420.65,0.0,149.00641025641025,0,611
9,SUP034,High,54.575,7,2,11953921.12,4706223.5,73.67307692307692,65,158
10,SUP033,Critical,77.625,7,1,16590867.37,801287.6900000001,82.28205128205128,0,763
