part_id,part_family,criticality_class,unit_cost,lead_time_days,supplier_id_primary,supplier_risk_class,is_repairable,shelf_life_days
P00001,Electrical,B,2323.45,27,SUP004,Low,No,735
P00002,Cabin,C,670.84,31,SUP028,Low,No,
P00003,Avionics,C,219.44,49,SUP040,Medium,Yes,
P00004,Electrical,A,12488.8,33,SUP034,Low,No,
P00005,Cabin,C,1319.96,63,SUP024,Medium,No,
P00006,Cabin,C,665.36,68,SUP002,Medium,No,
P00007,Fasteners,B,2665.22,46,SUP040,Medium,No,
P00008,Avionics,C,289.66,50,SUP018,Medium,Yes,
P00009,Structure,A,3012.47,22,SUP012,Low,No,
P00010,Electrical,C,1488.91,33,SUP036,Low,No,
P00011,Fasteners,C,538.02,40,SUP030,Low,No,
P00012,Engine,C,355.03,49,SUP030,Low,Yes,
P00013,Avionics,A,1751.39,33,SUP012,Low,No,
P00014,Hydraulics,C,188.1,46,SUP040,Medium,Yes,
P00015,Engine,A,3003.43,36,SUP019,Low,No,
P00016,LandingGear,B,2044.15,15,SUP022,Low,Yes,
P00017,Cabin,A,6462.47,44,SUP031,Low,No,
P00018,Cabin,C,1153.39,44,SUP027,Medium,No,
P00019,Fasteners,B,2838.25,34,SUP007,Low,No,
P00020,Hydraulics,C,295.4,46,SUP013,Medium,Yes,950
P00021,Hydraulics,C,415.37,49,SUP015,Medium,Yes,709
P00022,Hydraulics,A,5429.21,49,SUP038,Medium,Yes,
P00023,Structure,A,2333.09,40,SUP029,Low,No,
P00024,Fasteners,A,7635.37,45,SUP015,Medium,No,
P00025,Structure,C,449.8,37,SUP030,Low,No,
P00026,Fasteners,C,1094.97,35,SUP030,Low,No,
P00027,Avionics,B,850.73,43,SUP016,Medium,No,
P00028,Engine,C,471.91,30,SUP017,Low,Yes,
P00029,Structure,A,4196.96,33,SUP036,Low,No,
P00030,Hydraulics,C,294.96,50,SUP023,Medium,Yes,
P00031,Engine,C,472.16,59,SUP006,Medium,No,
P00032,Electrical,C,991.12,35,SUP029,Low,No,
P00033,Hydraulics,C,276.87,49,SUP024,Medium,No,
P00034,Fasteners,C,684.58,57,SUP021,Medium,No,
P00035,Hydraulics,A,4780.74,40,SUP030,Low,No,
P00036,Structure,B,855.05,34,SUP037,Low,No,
P00037,Electrical,A,6621.05,37,SUP014,Medium,No,530
P00038,Fasteners,C,1144.08,24,SUP017,Low,No,
P00039,LandingGear,C,1599.03,27,SUP008,Low,Yes,
P00040,Structure,C,166.51,61,SUP026,Medium,No,
P00041,Fasteners,C,700.78,24,SUP017,Low,No,
P00042,Fasteners,B,2238.82,42,SUP014,Medium,No,
P00043,Electrical,C,1779.33,21,SUP028,Low,No,500
P00044,Hydraulics,B,1222.57,25,SUP017,Low,Yes,
P00045,Fasteners,B,4045.15,29,SUP019,Low,No,
P00046,Avionics,C,174.12,51,SUP018,Medium,No,
P00047,Avionics,C,175.38,47,SUP011,Low,Yes,
P00048,Fasteners,C,1384.03,63,SUP006,Medium,No,
P00049,Fasteners,A,10717.62,45,SUP034,Low,No,
P00050,Structure,C,448.26,36,SUP004,Low,No,
P00051,LandingGear,A,8954.31,39,SUP013,Medium,Yes,
P00052,Electrical,C,1176.07,28,SUP027,Medium,No,
P00053,Engine,C,501.15,65,SUP006,Medium,No,
P00054,Fasteners,B,4059.97,38,SUP027,Medium,No,
P00055,Structure,A,4354.59,34,SUP030,Low,No,
P00056,Cabin,B,1158.25,49,SUP027,Medium,No,
P00057,Avionics,C,118.18,56,SUP013,Medium,Yes,
P00058,Hydraulics,B,1572.49,41,SUP001,Low,Yes,842
P00059,Cabin,C,1183.97,46,SUP036,Low,No,
P00060,Cabin,C,546.59,52,SUP014,Medium,No,
P00061,Structure,C,192.94,82,SUP033,High,No,
P00062,Electrical,A,9803.25,24,SUP008,Low,No,
P00063,Avionics,C,359.45,36,SUP007,Low,No,
P00064,Structure,B,1813.76,29,SUP032,Low,No,
P00065,Fasteners,C,1417.61,47,SUP038,Medium,No,
P00066,Fasteners,C,1038.9,32,SUP035,Low,No,
P00067,LandingGear,C,788.2,27,SUP031,Low,Yes,
P00068,LandingGear,C,1081.77,24,SUP010,Low,Yes,
P00069,Avionics,A,2074.07,35,SUP037,Low,Yes,
P00070,Electrical,C,747.93,26,SUP027,Medium,No,887
P00071,Avionics,B,1389.28,33,SUP007,Low,Yes,
P00072,Fasteners,B,5776.32,53,SUP006,Medium,No,
P00073,Avionics,A,3427.65,33,SUP035,Low,Yes,
P00074,Electrical,A,6860.32,22,SUP012,Low,No,1049
P00075,Engine,B,1671.55,44,SUP031,Low,No,
P00076,Structure,B,1209.39,52,SUP006,Medium,No,
P00077,Fasteners,B,3610.51,32,SUP012,Low,No,
P00078,Electrical,C,1652.36,18,SUP012,Low,No,795
P00079,Electrical,C,1332.7,19,SUP012,Low,No,
P00080,Cabin,B,2645.52,46,SUP027,Medium,No,
P00081,Electrical,B,3484.88,22,SUP037,Low,No,
P00082,Electrical,B,3141.79,28,SUP037,Low,No,
P00083,Fasteners,C,633.81,36,SUP030,Low,No,
P00084,Avionics,B,698.37,56,SUP009,Medium,No,
P00085,Cabin,A,5707.21,46,SUP039,Medium,No,
P00086,Cabin,B,1304.63,34,SUP022,Low,No,
P00087,Fasteners,B,5571.11,23,SUP022,Low,No,
P00088,Structure,B,1770.73,34,SUP029,Low,No,
P00089,Cabin,C,1257.21,48,SUP031,Low,No,
P00090,Avionics,C,283.75,39,SUP039,Medium,Yes,
P00091,Electrical,C,1711.8,42,SUP024,Medium,No,
P00092,Avionics,C,260.6,49,SUP025,Medium,Yes,
P00093,Engine,C,509.04,42,SUP030,Low,No,
P00094,LandingGear,B,1920.47,29,SUP011,Low,Yes,
P00095,Engine,C,544.85,56,SUP013,Medium,Yes,
P00096,Engine,C,484.29,72,SUP026,Medium,Yes,
P00097,Hydraulics,B,701.96,43,SUP003,Medium,No,
P00098,Electrical,C,1048.02,43,SUP013,Medium,No,
P00099,Engine,B,1205.13,51,SUP029,Low,Yes,
P00100,Avionics,C,486.84,43,SUP040,Medium,No,
P00101,Cabin,C,1068.38,62,SUP021,Medium,No,
P00102,Electrical,C,1071.25,30,SUP016,Medium,No,
P00103,Fasteners,C,1290.9,42,SUP018,Medium,No,
P00104,Engine,C,481.56,29,SUP028,Low,Yes,
P00105,Structure,C,344.57,22,SUP022,Low,No,
P00106,Avionics,C,177.67,49,SUP001,Low,Yes,
P00107,Engine,B,1175.42,36,SUP022,Low,Yes,
P00108,Cabin,C,601.72,36,SUP017,Low,No,
P00109,Engine,B,800.02,50,SUP029,Low,Yes,
P00110,Fasteners,A,12558.79,39,SUP036,Low,No,
P00111,Cabin,A,7951.34,52,SUP039,Medium,No,
P00112,Hydraulics,C,226.73,51,SUP025,Medium,Yes,728
P00113,Engine,A,4031.3,51,SUP015,Medium,Yes,
P00114,LandingGear,B,3989.96,36,SUP018,Medium,Yes,
P00115,Cabin,B,2958.23,43,SUP008,Low,No,
P00116,Cabin,B,2923.87,54,SUP038,Medium,No,
P00117,Engine,B,1256.23,50,SUP034,Low,Yes,
P00118,Engine,C,352.76,39,SUP035,Low,Yes,
P00119,Electrical,A,6480.24,33,SUP014,Medium,No,
P00120,Fasteners,C,1334.93,46,SUP013,Medium,No,
P00121,Avionics,C,296.35,26,SUP035,Low,Yes,
P00122,Fasteners,B,4852.65,24,SUP022,Low,No,
P00123,Cabin,B,3000.73,47,SUP029,Low,No,
P00124,Electrical,C,1018.72,16,SUP020,Low,No,891
P00125,Avionics,A,1490.01,47,SUP018,Medium,No,
P00126,Electrical,B,2493.86,52,SUP026,Medium,No,831
P00127,Structure,C,399.15,85,SUP033,High,No,
P00128,Fasteners,C,1102.45,45,SUP014,Medium,No,
P00129,Hydraulics,C,346.14,86,SUP033,High,Yes,
P00130,Structure,B,1056.28,24,SUP010,Low,No,
P00131,Engine,C,397.49,38,SUP017,Low,No,
P00132,Fasteners,C,949.75,31,SUP037,Low,No,
P00133,Electrical,B,3109.7,31,SUP039,Medium,No,
P00134,Hydraulics,C,368.12,30,SUP037,Low,No,
P00135,Electrical,A,10313.86,37,SUP013,Medium,No,
P00136,LandingGear,B,3098.46,28,SUP034,Low,Yes,
P00137,Fasteners,C,794.11,48,SUP038,Medium,No,
P00138,LandingGear,B,2379.41,33,SUP040,Medium,No,
P00139,Structure,B,1599.14,34,SUP001,Low,No,
P00140,Structure,C,246.31,30,SUP030,Low,No,
P00141,LandingGear,C,513.64,39,SUP040,Medium,No,
P00142,LandingGear,C,561.55,32,SUP031,Low,Yes,
P00143,Avionics,C,262.16,29,SUP010,Low,Yes,
P00144,Fasteners,C,1196.12,37,SUP031,Low,No,
P00145,Hydraulics,A,3608.96,48,SUP005,Medium,Yes,950
P00146,Electrical,B,4265.18,13,SUP020,Low,No,
P00147,Hydraulics,B,434.55,60,SUP026,Medium,Yes,
P00148,Fasteners,A,12062.12,27,SUP019,Low,No,
P00149,Fasteners,C,2043.71,26,SUP028,Low,No,
P00150,Fasteners,B,2083.89,31,SUP010,Low,No,
P00151,Hydraulics,B,969.59,45,SUP025,Medium,Yes,
P00152,Electrical,B,2142.57,52,SUP026,Medium,No,
P00153,Fasteners,B,2261.29,70,SUP026,Medium,No,
P00154,Avionics,C,231.5,32,SUP012,Low,No,
