date,site_id,part_id,planned_maintenance,consumption_qty,on_hand_qty,backorder_qty,blocked_qty,forecast_qty,forecast_type,forecast_uplift_pct
2022-01-03,SITE01,P00001,False,2,11,0,0,2,Baseline,0.0
2022-01-10,SITE01,P00001,True,4,14,0,0,3,Adjusted,-0.115
2022-01-17,SITE01,P00001,True,2,12,0,0,3,Baseline,0.0
2022-01-24,SITE01,P00001,False,0,12,0,0,2,Baseline,0.0
2022-01-31,SITE01,P00001,True,0,12,0,0,1,Adjusted,-0.11
2022-02-07,SITE01,P00001,True,2,10,0,0,2,Baseline,0.0
2022-02-14,SITE01,P00001,False,0,10,0,0,2,Baseline,0.0
2022-02-21,SITE01,P00001,True,1,9,0,0,2,Baseline,0.0
2022-02-28,SITE01,P00001,True,0,9,0,0,1,Adjusted,-0.165
2022-03-07,SITE01,P00001,False,0,9,0,0,1,Baseline,0.0
2022-03-14,SITE01,P00001,False,0,9,0,0,0,Baseline,0.0
2022-03-21,SITE01,P00001,False,2,15,0,0,0,Adjusted,-0.233
2022-03-28,SITE01,P00001,True,1,14,0,0,1,Baseline,0.0
2022-04-04,SITE01,P00001,False,0,14,0,0,0,Baseline,0.0
2022-04-11,SITE01,P00001,True,2,12,0,0,1,Adjusted,0.13
2022-04-18,SITE01,P00001,True,2,10,0,0,1,Adjusted,0.174
2022-04-25,SITE01,P00001,True,5,5,0,0,2,Adjusted,0.184
2022-05-02,SITE01,P00001,True,1,4,0,0,2,Baseline,0.0
2022-05-09,SITE01,P00001,True,1,3,0,0,2,Baseline,0.0
2022-05-16,SITE01,P00001,True,0,3,0,0,2,Adjusted,-0.06
2022-05-23,SITE01,P00001,False,1,10,0,0,1,Baseline,0.0
2022-05-30,SITE01,P00001,False,4,11,0,0,2,Baseline,0.0
2022-06-06,SITE01,P00001,True,3,8,0,0,2,Baseline,0.0
2022-06-13,SITE01,P00001,False,0,8,0,0,2,Baseline,0.0
2022-06-20,SITE01,P00001,False,0,8,0,0,1,Baseline,0.0
2022-06-27,SITE01,P00001,True,3,5,0,0,2,Baseline,0.0
2022-07-04,SITE01,P00001,True,3,2,0,0,2,Baseline,0.0
2022-07-11,SITE01,P00001,False,0,2,0,0,2,Adjusted,0.341
2022-07-18,SITE01,P00001,False,0,2,0,0,2,Baseline,0.0
2022-07-25,SITE01,P00001,False,1,1,0,0,1,Baseline,0.0
2022-08-01,SITE01,P00001,True,2,6,1,0,1,Baseline,0.0
2022-08-08,SITE01,P00001,True,3,9,0,0,1,Baseline,0.0
